match_id	deck	version	played_at	opponent	result	turn_order	start_quality	opening_hand_quality	sequencing_quality	issue_tags	positive_tags	cards_shined	cards_failed	game_context	session_or_event	focus_matchup	notes
488d1cd3-2be8-47b6-9755-48cee1ef7fd0	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-18T09:00:00.000Z	Mega Greninja	win	unknown	good	good	good		strong setup|strong recovery	Raging Bolt ex		competitive	Midweek cup	Mega Greninja	Beat Mega Greninja. strong setup carried the middle turns.
fc73b21c-e2e9-49ec-bc0e-7d4ce5bf7973	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-19T10:13:00.000Z	Mega Greninja	loss	second	good	okay	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
0d896035-3396-4e55-a340-5819b8100d07	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-20T11:26:00.000Z	Mega Greninja	loss	first	bad	great	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
57112f65-1a87-41fd-a3bf-ef8f3991d100	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-21T12:39:00.000Z	Mega Greninja	loss	second	good	good	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
a921c5bb-e2ec-4888-99d4-b3eee2f6cd7a	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-22T13:52:00.000Z	Mega Greninja	loss	unknown	bad	great	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
db15e6db-f914-4deb-b554-016ed69b097f	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-23T14:05:00.000Z	Mega Greninja	loss	second	okay	okay	bad	bench pressure|missed setup|poor prize trade			Battle VIP Pass	competitive	Midweek cup	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
9af5457f-3704-441b-af93-f5c0234dea58	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-24T15:18:00.000Z	Mega Greninja	loss	first	bad	okay	good	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
7c9fc610-08ab-498d-8c5a-55f828081313	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-25T16:31:00.000Z	Mega Greninja	loss	second	great	okay	okay	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	v1 Turbo dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
cc1319c2-9123-49ac-9c4e-9fde9b667827	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-26T17:44:00.000Z	Mega Greninja	loss	unknown	bad	okay	okay	bench pressure|missed setup|poor prize trade			Battle VIP Pass	testing	RB baseline week 1	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
ed07b48d-8517-4425-979e-3c6f91cb4110	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-04-27T18:57:00.000Z	Mega Greninja	tie	second	great	bad	okay		strong recovery			testing	RB baseline week 1	Mega Greninja	Mega Greninja tie. Need one cleaner turn to convert this sample into a read.
270be441-6225-4090-a957-9d149908f650	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-04-28T19:10:00.000Z	Mega Greninja	win	second	good	bad	good		strong recovery|favorable matchup	Earthen Vessel		testing	RB vessel check	Mega Greninja	Beat Mega Greninja. strong recovery carried the middle turns.
fcf8f7ac-d567-4c75-a642-8757443d8417	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-04-29T09:23:00.000Z	Mega Greninja	win	second	bad	okay	okay		strong recovery	Earthen Vessel		testing	RB vessel check	Mega Greninja	v2 Vessel Package held together into Mega Greninja. strong recovery were real.
f718580d-7623-487a-b5cb-56123c994488	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-04-30T10:36:00.000Z	Mega Greninja	loss	first	good	bad	good	bench pressure|missed setup			Counter Catcher	testing	RB vessel check	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
941f8fdc-5413-444d-82d3-f8cbd3452e94	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-01T11:49:00.000Z	Mega Greninja	loss	second	good	good	okay	bench pressure|missed setup			Counter Catcher	testing	RB vessel check	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
1747b295-30c0-4549-8f58-3c021b5ee4d2	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-02T12:02:00.000Z	Mega Greninja	loss	first	bad	good	good	bench pressure|missed setup			Counter Catcher	testing	RB vessel check	Mega Greninja	v2 Vessel Package dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
cff20dc1-ecca-4ee3-9031-2427e18567ba	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-03T13:15:00.000Z	Mega Greninja	loss	second	bad	good	good	bench pressure|missed setup			Counter Catcher	testing	RB vessel check	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
8e7a30df-9cfb-4755-af3f-c078c53bd9f0	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-04T14:28:00.000Z	Mega Greninja	loss	second	good	good	good	bench pressure|missed setup			Counter Catcher	testing	RB vessel check	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
6a33fd05-7722-42b8-846e-894d6bf0535a	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-05T15:41:00.000Z	Mega Greninja	tie	second	good	good	good	tempo loss	strong recovery			testing	RB vessel check	Mega Greninja	Mega Greninja tie. Need one cleaner turn to convert this sample into a read.
94428477-c746-4bb8-9599-2d65979f60df	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-06T16:54:00.000Z	Mega Greninja	win	first	good	good	great		key tech mattered|strong recovery	Mimikyu		testing	RB anti-bench mission	Mega Greninja	Beat Mega Greninja. key tech mattered carried the middle turns.
110b0245-fd2d-4118-94ff-82f1c8b1c40a	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-07T17:07:00.000Z	Mega Greninja	win	unknown	bad	great	okay		key tech mattered|strong recovery	Mimikyu		testing	RB anti-bench mission	Mega Greninja	v3 Anti-Bench held together into Mega Greninja. key tech mattered and strong recovery were real.
8872a42a-f366-49ab-b811-5bface1de218	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-08T18:20:00.000Z	Mega Greninja	loss	first	good	good	good	bench pressure|missed setup			Switch Cart	testing	RB anti-bench mission	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
319dc972-4322-4d8d-b8f5-ff17eeda3342	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-09T19:33:00.000Z	Mega Greninja	loss	second	good	great	good	bench pressure|missed setup			Switch Cart	testing	RB anti-bench mission	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
a6ac2c33-dbee-4f3a-ac88-893448730366	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-10T09:46:00.000Z	Mega Greninja	loss	first	okay	good	okay	bench pressure|missed setup			Switch Cart	testing	RB anti-bench mission	Mega Greninja	v3 Anti-Bench dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
7e31d545-0fe2-45aa-8cd0-5ee43b9516c9	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-11T10:59:00.000Z	Mega Greninja	tie	second	good	good	bad					testing	RB anti-bench mission	Mega Greninja	Mega Greninja tie. Need one cleaner turn to convert this sample into a read.
a950fb6c-974e-4a07-b765-ed009b0f30a9	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-12T11:12:00.000Z	Mega Greninja	loss	first	okay	great	bad	bench pressure|missed setup			Switch Cart	testing	RB anti-bench mission	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
e7b8c73d-5787-4538-acc1-82625efb5f40	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-13T12:25:00.000Z	Mega Greninja	loss	second	okay	okay	good	bench pressure|missed setup			Switch Cart	testing	RB anti-bench mission	Mega Greninja	v3 Anti-Bench dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
3da71072-e1db-408f-bb37-7a45e3a44be7	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-14T13:38:00.000Z	Dragapult Dusknoir	loss	unknown	bad	okay	great	missed setup			Lumineon V	testing	RB spread check		Lost to Dragapult Dusknoir. missed setup snowballed before Playtest 200 - Raging Bolt Lab stabilized.
1b266d76-23fc-4922-9440-c40584258d97	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-15T14:51:00.000Z	Dragapult Dusknoir	loss	second	okay	okay	great	missed setup|supporter drought			Lumineon V	testing	RB spread check		v1 Turbo dropped a game to Dragapult Dusknoir. missed setup and supporter drought showed up again.
0b46c6d2-c1d1-4aff-9ca4-d51f6734c2ca	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-16T15:04:00.000Z	Dragapult Dusknoir	loss	first	okay	bad	bad	missed setup|tempo loss			Lumineon V	testing	RB spread check		Another Dragapult Dusknoir loss. Need to review missed setup before the next sample.
5f443a01-0a1f-49bf-ba50-961da3df3e9d	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-17T16:17:00.000Z	Dragapult Dusknoir	tie	unknown	good	good	bad	tempo loss	strong recovery			testing	RB spread check		Dragapult Dusknoir tie. Need one cleaner turn to convert this sample into a read.
d35aab48-0d66-48bd-98bb-0eb3ee325484	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-18T17:30:00.000Z	Dragapult Dusknoir	win	first	bad	good	bad		good prize plan|key tech mattered	Teal Mask Ogerpon ex		testing	RB spread check		v1 Turbo held together into Dragapult Dusknoir. good prize plan and key tech mattered were real.
982671d3-1225-4508-8e69-61142ad94199	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-19T18:43:00.000Z	Dragapult Dusknoir	win	second	great	good	okay		good prize plan|favorable matchup	Teal Mask Ogerpon ex		testing	RB spread check		Win vs Dragapult Dusknoir. good prize plan mattered more than expected.
02bbc58e-95f9-4f34-b89e-7964f142bc5e	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-20T19:56:00.000Z	Dragapult Dusknoir	win	unknown	good	okay	good		good prize plan|favorable matchup	Teal Mask Ogerpon ex		testing	RB spread check		Beat Dragapult Dusknoir. good prize plan carried the middle turns.
94e80dcc-3b5c-469a-a828-63be4aec8f62	Playtest 200 - Raging Bolt Lab	v1 Turbo	2026-05-21T09:09:00.000Z	Dragapult Dusknoir	win	second	bad	good	good		good prize plan|strong recovery	Teal Mask Ogerpon ex		testing	RB spread check		v1 Turbo held together into Dragapult Dusknoir. good prize plan and strong recovery were real.
a8132406-675e-4bec-b304-a63e35bd6016	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-22T10:22:00.000Z	Charizard ex	win	first	good	good	good		Good Tech|strong recovery	Munkidori		competitive	League challenge		Beat Charizard ex. Good Tech carried the middle turns.
4b4b1e89-d469-4bc6-8cab-4f49f9d43386	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-23T11:35:00.000Z	Charizard ex	win	second	okay	good	good		Good Tech|favorable matchup	Munkidori		testing	RB charizard reps		v2 Vessel Package held together into Charizard ex. Good Tech and favorable matchup were real.
2dcc996c-db51-44f9-89b9-1890728522b6	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-24T12:48:00.000Z	Charizard ex	win	first	good	okay	good		Good Tech|strong recovery	Munkidori		testing	RB charizard reps		Win vs Charizard ex. Good Tech mattered more than expected.
59ccb65e-08b7-4c95-ae8c-93fc5497e6f1	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-25T13:01:00.000Z	Charizard ex	win	second	good	good	good		Good Tech|strong recovery	Munkidori		testing	RB charizard reps		Beat Charizard ex. Good Tech carried the middle turns.
20a0dfc5-a6e9-4536-ac87-709615528cf8	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-26T14:14:00.000Z	Charizard ex	win	first	good	okay	good		Good Tech|favorable matchup	Munkidori		competitive	League challenge		v2 Vessel Package held together into Charizard ex. Good Tech and favorable matchup were real.
85bbcb8b-79bf-4783-9185-2b21ac992f00	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-27T15:27:00.000Z	Charizard ex	loss	second	great	bad	good	poor prize trade			Boss's Orders	testing	RB charizard reps		Another Charizard ex loss. Need to review poor prize trade before the next sample.
07a7747e-c3f9-456f-90a5-1b99d7374e4c	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-28T16:40:00.000Z	Charizard ex	loss	first	good	good	great	poor prize trade|supporter drought			Boss's Orders	testing	RB charizard reps		Lost to Charizard ex. poor prize trade snowballed before Playtest 200 - Raging Bolt Lab stabilized.
f3c917d0-11aa-4dcc-bd12-f25a1cdb5687	Playtest 200 - Raging Bolt Lab	v2 Vessel Package	2026-05-29T17:53:00.000Z	Charizard ex	tie	second	great	okay	good	supporter drought	good prize plan			testing	RB charizard reps		Charizard ex tie. Need one cleaner turn to convert this sample into a read.
081eef01-893d-4d04-82fe-a916604308f6	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-30T18:06:00.000Z	Rogue decks	win	unknown	good	okay	good		favorable matchup|strong recovery			testing	RB rogue sweep		Beat Rogue decks. favorable matchup carried the middle turns.
9a1fdac9-41d0-47b9-86ff-4c96ffa30073	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-05-31T19:19:00.000Z	Rogue decks	win	unknown	great	bad	good		favorable matchup|strong recovery			testing	RB rogue sweep		v3 Anti-Bench held together into Rogue decks. favorable matchup and strong recovery were real.
20bf5d1c-28a5-4d29-bbb0-6566e6b64a11	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-01T09:32:00.000Z	Rogue decks	win	unknown	good	great	okay		favorable matchup|strong recovery			testing	RB rogue sweep		Win vs Rogue decks. favorable matchup mattered more than expected.
99212688-c1d4-4f26-b786-f3bcfedd0a09	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-02T10:45:00.000Z	Rogue decks	tie	unknown	good	bad	great					testing	RB rogue sweep		Rogue decks tie. Need one cleaner turn to convert this sample into a read.
84566efd-fc58-4081-81b7-e11af85869e0	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-03T11:58:00.000Z	Rogue decks	loss	unknown	great	okay	great	matchup knowledge|poor prize trade				testing	RB rogue sweep		v3 Anti-Bench dropped a game to Rogue decks. matchup knowledge and poor prize trade showed up again.
4740343f-ac11-4cdd-b860-e614e94d6f2f	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-04T12:11:00.000Z	Rogue decks	loss	unknown	okay	okay	okay	matchup knowledge|missed setup				testing	RB rogue sweep		Another Rogue decks loss. Need to review matchup knowledge before the next sample.
d9459073-53db-4c55-b188-15c174ce0084	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-05T13:24:00.000Z	Raging Bolt	win	second	good	great	good		clean sequencing|favorable matchup			testing	RB mirror work		Beat Raging Bolt. clean sequencing carried the middle turns.
23efb6d3-35fe-40a8-9b66-b939f899bf3c	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-06T14:37:00.000Z	Raging Bolt	win	first	good	good	good		clean sequencing|favorable matchup			testing	RB mirror work		v3 Anti-Bench held together into Raging Bolt. clean sequencing and favorable matchup were real.
9c363b4e-bd42-42a4-be7a-e5ed20cb9784	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-07T15:50:00.000Z	Raging Bolt	win	first	great	good	bad		clean sequencing|key tech mattered			testing	RB mirror work		Win vs Raging Bolt. clean sequencing mattered more than expected.
f1029e02-5ec1-4b28-896d-de7d676cdb4f	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-08T16:03:00.000Z	Raging Bolt	loss	second	good	bad	bad	prize map error|poor prize trade				testing	RB mirror work		Lost to Raging Bolt. prize map error snowballed before Playtest 200 - Raging Bolt Lab stabilized.
a97e8400-8bd9-493e-826a-5cd73dceae45	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-09T17:16:00.000Z	Raging Bolt	loss	first	okay	good	okay	prize map error|tempo loss				testing	RB mirror work		v3 Anti-Bench dropped a game to Raging Bolt. prize map error and tempo loss showed up again.
6258b7a2-d1b6-4716-9797-b4c1eadf4d5b	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-10T18:29:00.000Z	Raging Bolt	tie	first	good	good	bad	tempo loss				testing	RB mirror work		Raging Bolt tie. Need one cleaner turn to convert this sample into a read.
eebf1228-cac3-4b3d-aa9e-e7c7b5d9a449	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-11T19:42:00.000Z	Mega Greninja	win	second	good	good	good		key tech mattered|strong recovery	Manaphy		testing	RB anti-bench follow-up	Mega Greninja	Beat Mega Greninja. key tech mattered carried the middle turns.
6f7e075a-9c55-4cb4-bc90-ac4a609d8e49	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-06-12T09:55:00.000Z	Mega Greninja	win	unknown	okay	okay	good		key tech mattered|favorable matchup	Manaphy		testing	RB anti-bench follow-up	Mega Greninja	v3 Anti-Bench held together into Mega Greninja. key tech mattered and favorable matchup were real.
02df208b-6fc4-424f-b5d9-8198c6861b6f	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-18T10:08:00.000Z	Mega Greninja	loss	second	bad	okay	okay	bench pressure|missed setup			Prime Catcher	testing	RB anti-bench follow-up	Mega Greninja	Another Mega Greninja loss. Need to review bench pressure before the next sample.
ffe26cd8-cc9c-421f-9bf6-f5e751155f67	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-19T11:21:00.000Z	Mega Greninja	loss	unknown	great	okay	bad	bench pressure|missed setup			Prime Catcher	testing	RB anti-bench follow-up	Mega Greninja	Lost to Mega Greninja. bench pressure snowballed before Playtest 200 - Raging Bolt Lab stabilized.
fb6c37aa-48c1-409c-9e6d-797e71fd4ce0	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-20T12:34:00.000Z	Mega Greninja	loss	second	okay	good	okay	bench pressure|missed setup			Prime Catcher	testing	RB anti-bench follow-up	Mega Greninja	v3 Anti-Bench dropped a game to Mega Greninja. bench pressure and missed setup showed up again.
08e63b57-d996-4190-9875-b93ff288f023	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-21T13:47:00.000Z	Mega Greninja	tie	unknown	good	good	okay	tempo loss	good prize plan			testing	RB anti-bench follow-up	Mega Greninja	Mega Greninja tie. Need one cleaner turn to convert this sample into a read.
ad486442-58c4-4706-83e2-2accd3a14b6e	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-22T14:00:00.000Z	Dragapult Dusknoir	win	unknown	good	good	good		strong setup|key tech mattered			testing	RB spread volume		Beat Dragapult Dusknoir. strong setup carried the middle turns.
de061064-f539-4d44-b2cc-599fc8aa8043	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-23T15:13:00.000Z	Dragapult Dusknoir	win	second	good	good	great		strong setup|favorable matchup			testing	RB spread volume		v3 Anti-Bench held together into Dragapult Dusknoir. strong setup and favorable matchup were real.
9046767a-4a48-4562-9f44-a9b993278c84	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-24T16:26:00.000Z	Dragapult Dusknoir	win	first	okay	okay	okay		strong setup|strong recovery			testing	RB spread volume		Win vs Dragapult Dusknoir. strong setup mattered more than expected.
1f7ce30b-f0e3-462d-ac90-850cadf37ad8	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-25T17:39:00.000Z	Dragapult Dusknoir	win	second	okay	bad	good		strong setup|key tech mattered			testing	RB spread volume		Beat Dragapult Dusknoir. strong setup carried the middle turns.
1e5ea335-a38e-437f-91b4-ed6f418d9804	Playtest 200 - Raging Bolt Lab	v3 Anti-Bench	2026-04-26T18:52:00.000Z	Dragapult Dusknoir	win	unknown	good	great	okay		strong setup|key tech mattered			testing	RB spread volume		v3 Anti-Bench held together into Dragapult Dusknoir. strong setup and key tech mattered were real.
